layer_idx,head_idx,best_accuracy,best_epoch,timestamp
9,9,0.77,11,2025-09-12 03:48:08
9,10,0.785,14,2025-09-12 03:48:08
9,11,0.775,10,2025-09-12 03:48:08
10,0,0.8275,16,2025-09-12 03:48:08
10,1,0.7925,3,2025-09-12 03:48:08
10,2,0.77,9,2025-09-12 03:48:08
10,3,0.7675,9,2025-09-12 03:48:08
10,4,0.77,10,2025-09-12 03:48:08
10,5,0.7775,4,2025-09-12 03:48:08
10,6,0.7975,12,2025-09-12 03:48:08
10,7,0.7825,14,2025-09-12 03:48:08
10,8,0.79,7,2025-09-12 03:48:08
10,9,0.8025,8,2025-09-12 03:48:08
10,10,0.7775,11,2025-09-12 03:48:08
10,11,0.7975,10,2025-09-12 03:48:08
11,0,0.765,14,2025-09-12 03:48:08
11,1,0.7775,10,2025-09-12 03:48:08
11,2,0.7725,9,2025-09-12 03:48:08
11,3,0.77,7,2025-09-12 03:48:08
11,4,0.7675,6,2025-09-12 03:48:08
11,5,0.7775,18,2025-09-12 03:48:08
11,6,0.7875,9,2025-09-12 03:48:08
11,7,0.8025,12,2025-09-12 03:48:08
11,8,0.7625,16,2025-09-12 03:48:08
11,9,0.765,12,2025-09-12 03:48:08
11,10,0.79,18,2025-09-12 03:48:08
11,11,0.775,9,2025-09-12 03:48:08
12,0,0.8075,13,2025-09-12 03:48:08
12,1,0.78,8,2025-09-12 03:48:08
12,2,0.73,11,2025-09-12 03:48:08
12,3,0.77,14,2025-09-12 03:48:08
12,4,0.775,4,2025-09-12 03:48:08
12,5,0.8025,15,2025-09-12 03:48:08
12,6,0.7925,10,2025-09-12 03:48:08
12,7,0.765,11,2025-09-12 03:48:08
12,8,0.79,9,2025-09-12 03:48:08
12,9,0.7825,2,2025-09-12 03:48:08
12,10,0.81,16,2025-09-12 03:48:08
12,11,0.805,12,2025-09-12 03:48:08
13,0,0.79,6,2025-09-12 03:48:08
13,1,0.7525,13,2025-09-12 03:48:08
13,2,0.77,15,2025-09-12 03:48:08
13,3,0.81,9,2025-09-12 03:48:08
13,4,0.765,4,2025-09-12 03:48:08
13,5,0.7475,17,2025-09-12 03:48:08
13,6,0.76,5,2025-09-12 03:48:08
13,7,0.7325,16,2025-09-12 03:48:08
13,8,0.7875,12,2025-09-12 03:48:08
13,9,0.7725,18,2025-09-12 03:48:08
13,10,0.7725,9,2025-09-12 03:48:08
13,11,0.77,14,2025-09-12 03:48:08
14,0,0.8025,9,2025-09-12 03:48:08
14,1,0.775,5,2025-09-12 03:48:08
14,2,0.78,15,2025-09-12 03:48:08
14,3,0.7475,16,2025-09-12 03:48:08
14,4,0.76,12,2025-09-12 03:48:08
14,5,0.755,10,2025-09-12 03:48:08
14,6,0.805,9,2025-09-12 03:48:08
14,7,0.7875,6,2025-09-12 03:48:08
14,8,0.78,13,2025-09-12 03:48:08
14,9,0.8075,12,2025-09-12 03:48:08
14,10,0.76,5,2025-09-12 03:48:08
14,11,0.7925,14,2025-09-12 03:48:08
15,0,0.77,4,2025-09-12 03:48:08
15,1,0.8275,11,2025-09-12 03:48:08
15,2,0.785,4,2025-09-12 03:48:08
15,3,0.8275,11,2025-09-12 03:48:08
15,4,0.8075,11,2025-09-12 03:48:08
15,5,0.7775,8,2025-09-12 03:48:08
15,6,0.775,14,2025-09-12 03:48:08
15,7,0.765,5,2025-09-12 03:48:08
15,8,0.7975,8,2025-09-12 03:48:08
15,9,0.8175,7,2025-09-12 03:48:08
15,10,0.79,6,2025-09-12 03:48:08
15,11,0.8,14,2025-09-12 03:48:08
16,0,0.7825,14,2025-09-12 03:48:08
16,1,0.79,5,2025-09-12 03:48:08
16,2,0.7875,3,2025-09-12 03:48:08
16,3,0.79,13,2025-09-12 03:48:08
16,4,0.7775,9,2025-09-12 03:48:08
16,5,0.74,11,2025-09-12 03:48:08
16,6,0.8225,14,2025-09-12 03:48:08
16,7,0.78,15,2025-09-12 03:48:08
16,8,0.8125,9,2025-09-12 03:48:08
16,9,0.795,9,2025-09-12 03:48:08
16,10,0.7925,18,2025-09-12 03:48:08
16,11,0.8075,10,2025-09-12 03:48:08
17,0,0.8225,2,2025-09-12 03:48:08
17,1,0.795,9,2025-09-12 03:48:08
17,2,0.765,3,2025-09-12 03:48:08
17,3,0.8175,10,2025-09-12 03:48:08
17,4,0.815,5,2025-09-12 03:48:08
17,5,0.795,2,2025-09-12 03:48:08
17,6,0.84,12,2025-09-12 03:48:08
17,7,0.8075,10,2025-09-12 03:48:08
