layer_idx,head_idx,best_accuracy,best_epoch,timestamp
0,0,0.7072368421052632,2,2025-09-23 19:09:49
0,1,0.6447368421052632,9,2025-09-23 19:09:49
0,2,0.6611842105263158,7,2025-09-23 19:09:49
0,3,0.7105263157894737,1,2025-09-23 19:09:49
0,4,0.6348684210526315,1,2025-09-23 19:09:49
0,5,0.6907894736842105,1,2025-09-23 19:09:49
0,6,0.6875,13,2025-09-23 19:09:49
0,7,0.6677631578947368,1,2025-09-23 19:09:49
0,8,0.6710526315789473,7,2025-09-23 19:09:49
0,9,0.6644736842105263,8,2025-09-23 19:09:49
0,10,0.680921052631579,4,2025-09-23 19:09:49
0,11,0.6644736842105263,13,2025-09-23 19:09:49
0,12,0.680921052631579,7,2025-09-23 19:09:49
0,13,0.680921052631579,6,2025-09-23 19:09:49
0,14,0.6578947368421053,1,2025-09-23 19:09:49
0,15,0.625,15,2025-09-23 19:09:49
0,16,0.625,13,2025-09-23 19:09:49
0,17,0.7006578947368421,4,2025-09-23 19:09:49
0,18,0.6611842105263158,14,2025-09-23 19:09:49
0,19,0.6644736842105263,1,2025-09-23 19:09:49
0,20,0.680921052631579,2,2025-09-23 19:09:49
0,21,0.6973684210526315,7,2025-09-23 19:09:49
0,22,0.6414473684210527,9,2025-09-23 19:09:49
0,23,0.6677631578947368,2,2025-09-23 19:09:49
0,24,0.6447368421052632,4,2025-09-23 19:09:49
0,25,0.6743421052631579,1,2025-09-23 19:09:49
0,26,0.7039473684210527,10,2025-09-23 19:09:49
0,27,0.6842105263157895,4,2025-09-23 19:09:49
0,28,0.680921052631579,2,2025-09-23 19:09:49
0,29,0.6776315789473685,8,2025-09-23 19:09:49
0,30,0.6611842105263158,6,2025-09-23 19:09:49
0,31,0.6381578947368421,3,2025-09-23 19:09:49
1,0,0.6907894736842105,15,2025-09-23 19:09:49
1,1,0.6644736842105263,2,2025-09-23 19:09:49
1,2,0.6842105263157895,2,2025-09-23 19:09:49
1,3,0.6710526315789473,9,2025-09-23 19:09:49
1,4,0.5986842105263158,15,2025-09-23 19:09:49
1,5,0.6447368421052632,1,2025-09-23 19:09:49
1,6,0.6743421052631579,7,2025-09-23 19:09:49
1,7,0.625,17,2025-09-23 19:09:49
1,8,0.6282894736842105,1,2025-09-23 19:09:49
1,9,0.6611842105263158,6,2025-09-23 19:09:49
1,10,0.6348684210526315,1,2025-09-23 19:09:49
1,11,0.6743421052631579,13,2025-09-23 19:09:49
1,12,0.631578947368421,1,2025-09-23 19:09:49
1,13,0.6907894736842105,7,2025-09-23 19:09:49
1,14,0.6743421052631579,6,2025-09-23 19:09:49
1,15,0.6611842105263158,1,2025-09-23 19:09:49
1,16,0.6611842105263158,6,2025-09-23 19:09:49
1,17,0.6907894736842105,14,2025-09-23 19:09:49
1,18,0.6973684210526315,3,2025-09-23 19:09:49
1,19,0.6578947368421053,5,2025-09-23 19:09:49
1,20,0.6644736842105263,9,2025-09-23 19:09:49
1,21,0.6546052631578947,8,2025-09-23 19:09:49
1,22,0.6644736842105263,9,2025-09-23 19:09:49
1,23,0.6414473684210527,13,2025-09-23 19:09:49
1,24,0.6480263157894737,9,2025-09-23 19:09:49
1,25,0.6282894736842105,11,2025-09-23 19:09:49
1,26,0.6381578947368421,10,2025-09-23 19:09:49
1,27,0.6907894736842105,8,2025-09-23 19:09:49
1,28,0.6776315789473685,3,2025-09-23 19:09:49
1,29,0.6414473684210527,1,2025-09-23 19:09:49
1,30,0.631578947368421,3,2025-09-23 19:09:49
1,31,0.6480263157894737,1,2025-09-23 19:09:49
2,0,0.6513157894736842,2,2025-09-23 19:09:49
2,1,0.5855263157894737,14,2025-09-23 19:09:49
2,2,0.6348684210526315,3,2025-09-23 19:09:49
2,3,0.6381578947368421,5,2025-09-23 19:09:49
2,4,0.7105263157894737,3,2025-09-23 19:09:49
2,5,0.6151315789473685,14,2025-09-23 19:09:49
2,6,0.6611842105263158,16,2025-09-23 19:09:49
2,7,0.6019736842105263,14,2025-09-23 19:09:49
2,8,0.6480263157894737,9,2025-09-23 19:09:49
2,9,0.6546052631578947,15,2025-09-23 19:09:49
2,10,0.7138157894736842,10,2025-09-23 19:09:49
2,11,0.6776315789473685,6,2025-09-23 19:09:49
2,12,0.6743421052631579,5,2025-09-23 19:09:49
2,13,0.6644736842105263,12,2025-09-23 19:09:49
2,14,0.6644736842105263,8,2025-09-23 19:09:49
2,15,0.6480263157894737,13,2025-09-23 19:09:49
2,16,0.625,1,2025-09-23 19:09:49
2,17,0.6085526315789473,1,2025-09-23 19:09:49
2,18,0.631578947368421,10,2025-09-23 19:09:49
2,19,0.6644736842105263,1,2025-09-23 19:09:49
2,20,0.6480263157894737,4,2025-09-23 19:09:49
2,21,0.6907894736842105,5,2025-09-23 19:09:49
2,22,0.6447368421052632,10,2025-09-23 19:09:49
2,23,0.6348684210526315,12,2025-09-23 19:09:49
2,24,0.6348684210526315,4,2025-09-23 19:09:49
2,25,0.6085526315789473,15,2025-09-23 19:09:49
2,26,0.7006578947368421,4,2025-09-23 19:09:49
2,27,0.6118421052631579,2,2025-09-23 19:09:49
2,28,0.6513157894736842,8,2025-09-23 19:09:49
2,29,0.6907894736842105,2,2025-09-23 19:09:49
2,30,0.6151315789473685,1,2025-09-23 19:09:49
2,31,0.6447368421052632,16,2025-09-23 19:09:49
3,0,0.6611842105263158,1,2025-09-23 19:09:49
3,1,0.6118421052631579,12,2025-09-23 19:09:49
3,2,0.625,7,2025-09-23 19:09:49
3,3,0.6710526315789473,12,2025-09-23 19:09:49
3,4,0.6644736842105263,17,2025-09-23 19:09:49
3,5,0.6513157894736842,3,2025-09-23 19:09:49
3,6,0.6480263157894737,14,2025-09-23 19:09:49
3,7,0.6282894736842105,7,2025-09-23 19:09:49
3,8,0.6677631578947368,5,2025-09-23 19:09:49
3,9,0.6513157894736842,1,2025-09-23 19:09:49
3,10,0.631578947368421,2,2025-09-23 19:09:49
3,11,0.6578947368421053,6,2025-09-23 19:09:49
3,12,0.6546052631578947,11,2025-09-23 19:09:49
3,13,0.6118421052631579,1,2025-09-23 19:09:49
3,14,0.6447368421052632,1,2025-09-23 19:09:49
3,15,0.6546052631578947,5,2025-09-23 19:09:49
3,16,0.6776315789473685,11,2025-09-23 19:09:49
3,17,0.6513157894736842,7,2025-09-23 19:09:49
3,18,0.6546052631578947,14,2025-09-23 19:09:49
3,19,0.6611842105263158,19,2025-09-23 19:09:49
3,20,0.6644736842105263,2,2025-09-23 19:09:49
3,21,0.6546052631578947,6,2025-09-23 19:09:49
3,22,0.6546052631578947,1,2025-09-23 19:09:49
3,23,0.6677631578947368,1,2025-09-23 19:09:49
3,24,0.6578947368421053,2,2025-09-23 19:09:49
3,25,0.680921052631579,1,2025-09-23 19:09:49
3,26,0.6447368421052632,2,2025-09-23 19:09:49
3,27,0.6677631578947368,14,2025-09-23 19:09:49
3,28,0.6381578947368421,7,2025-09-23 19:09:49
3,29,0.6611842105263158,9,2025-09-23 19:09:49
3,30,0.6414473684210527,1,2025-09-23 19:09:49
3,31,0.6776315789473685,1,2025-09-23 19:09:49
4,0,0.6447368421052632,1,2025-09-23 19:09:49
4,1,0.6907894736842105,1,2025-09-23 19:09:49
4,2,0.680921052631579,10,2025-09-23 19:09:49
4,3,0.6776315789473685,8,2025-09-23 19:09:49
4,4,0.6513157894736842,4,2025-09-23 19:09:49
4,5,0.6875,14,2025-09-23 19:09:49
4,6,0.6085526315789473,13,2025-09-23 19:09:49
4,7,0.631578947368421,9,2025-09-23 19:09:49
4,8,0.6480263157894737,1,2025-09-23 19:09:49
4,9,0.6414473684210527,1,2025-09-23 19:09:49
4,10,0.6677631578947368,12,2025-09-23 19:09:49
4,11,0.625,2,2025-09-23 19:09:49
4,12,0.7006578947368421,2,2025-09-23 19:09:49
4,13,0.6381578947368421,3,2025-09-23 19:09:49
4,14,0.6480263157894737,2,2025-09-23 19:09:49
4,15,0.6414473684210527,1,2025-09-23 19:09:49
4,16,0.6546052631578947,1,2025-09-23 19:09:49
4,17,0.6875,19,2025-09-23 19:09:49
4,18,0.631578947368421,20,2025-09-23 19:09:49
4,19,0.5921052631578947,1,2025-09-23 19:09:49
4,20,0.6546052631578947,1,2025-09-23 19:09:49
4,21,0.6776315789473685,1,2025-09-23 19:09:49
4,22,0.6118421052631579,5,2025-09-23 19:09:49
4,23,0.6414473684210527,1,2025-09-23 19:09:49
4,24,0.6217105263157895,1,2025-09-23 19:09:49
4,25,0.6414473684210527,6,2025-09-23 19:09:49
4,26,0.6546052631578947,1,2025-09-23 19:09:49
4,27,0.6611842105263158,10,2025-09-23 19:09:49
