layer_idx,head_idx,best_accuracy,best_epoch,timestamp
0,0,0.9696969696969697,7,2025-09-18 08:53:42
0,1,0.9636363636363636,12,2025-09-18 08:53:42
0,2,0.9696969696969697,1,2025-09-18 08:53:42
0,3,0.9636363636363636,13,2025-09-18 08:53:42
0,4,0.9878787878787879,6,2025-09-18 08:53:42
0,5,0.9090909090909091,3,2025-09-18 08:53:42
0,6,0.9818181818181818,8,2025-09-18 08:53:42
0,7,0.9878787878787879,1,2025-09-18 08:53:42
0,8,0.9575757575757575,6,2025-09-18 08:53:42
0,9,0.9636363636363636,7,2025-09-18 08:53:42
0,10,0.9757575757575757,13,2025-09-18 08:53:42
0,11,0.9757575757575757,3,2025-09-18 08:53:42
0,12,0.9878787878787879,17,2025-09-18 08:53:42
0,13,0.9757575757575757,1,2025-09-18 08:53:42
0,14,0.9393939393939394,1,2025-09-18 08:53:42
0,15,0.9636363636363636,1,2025-09-18 08:53:42
0,16,0.9818181818181818,1,2025-09-18 08:53:42
0,17,0.9939393939393939,1,2025-09-18 08:53:42
0,18,0.9636363636363636,1,2025-09-18 08:53:42
0,19,0.9818181818181818,1,2025-09-18 08:53:42
0,20,0.9757575757575757,1,2025-09-18 08:53:42
0,21,0.9575757575757575,1,2025-09-18 08:53:42
0,22,0.9818181818181818,1,2025-09-18 08:53:42
0,23,0.9818181818181818,1,2025-09-18 08:53:42
0,24,0.9393939393939394,8,2025-09-18 08:53:42
0,25,0.9757575757575757,7,2025-09-18 08:53:42
0,26,0.8909090909090909,4,2025-09-18 08:53:42
0,27,0.9575757575757575,10,2025-09-18 08:53:42
0,28,0.9393939393939394,12,2025-09-18 08:53:42
0,29,0.9757575757575757,7,2025-09-18 08:53:42
0,30,0.9696969696969697,5,2025-09-18 08:53:42
0,31,0.9575757575757575,10,2025-09-18 08:53:42
0,32,0.9757575757575757,4,2025-09-18 08:53:42
0,33,0.9818181818181818,1,2025-09-18 08:53:42
0,34,0.9757575757575757,6,2025-09-18 08:53:42
0,35,0.9757575757575757,1,2025-09-18 08:53:42
0,36,0.9878787878787879,1,2025-09-18 08:53:42
0,37,0.9696969696969697,1,2025-09-18 08:53:42
0,38,0.9454545454545454,4,2025-09-18 08:53:42
0,39,0.9939393939393939,4,2025-09-18 08:53:42
0,40,0.9757575757575757,6,2025-09-18 08:53:42
0,41,0.9818181818181818,2,2025-09-18 08:53:42
0,42,0.9636363636363636,1,2025-09-18 08:53:42
0,43,0.9696969696969697,1,2025-09-18 08:53:42
0,44,0.9696969696969697,2,2025-09-18 08:53:42
0,45,0.9818181818181818,4,2025-09-18 08:53:42
0,46,0.9696969696969697,1,2025-09-18 08:53:42
0,47,0.9818181818181818,3,2025-09-18 08:53:42
0,48,0.9818181818181818,1,2025-09-18 08:53:42
0,49,0.9696969696969697,1,2025-09-18 08:53:42
0,50,0.9757575757575757,1,2025-09-18 08:53:42
0,51,0.9878787878787879,1,2025-09-18 08:53:42
0,52,0.9515151515151515,1,2025-09-18 08:53:42
0,53,0.9636363636363636,1,2025-09-18 08:53:42
0,54,0.9939393939393939,1,2025-09-18 08:53:42
0,55,0.9696969696969697,1,2025-09-18 08:53:42
0,56,0.9878787878787879,1,2025-09-18 08:53:42
0,57,0.9878787878787879,1,2025-09-18 08:53:42
0,58,0.9757575757575757,1,2025-09-18 08:53:42
0,59,0.9818181818181818,1,2025-09-18 08:53:42
0,60,0.9696969696969697,1,2025-09-18 08:53:42
0,61,0.9757575757575757,1,2025-09-18 08:53:42
0,62,0.9818181818181818,1,2025-09-18 08:53:42
0,63,0.9757575757575757,1,2025-09-18 08:53:42
1,0,0.9757575757575757,1,2025-09-18 08:53:42
1,1,0.9696969696969697,1,2025-09-18 08:53:42
1,2,0.9636363636363636,1,2025-09-18 08:53:42
1,3,0.9636363636363636,4,2025-09-18 08:53:42
1,4,0.9878787878787879,5,2025-09-18 08:53:42
1,5,0.9575757575757575,1,2025-09-18 08:53:42
1,6,0.9575757575757575,1,2025-09-18 08:53:42
1,7,0.9878787878787879,6,2025-09-18 08:53:42
1,8,0.9696969696969697,3,2025-09-18 08:53:42
1,9,0.9878787878787879,1,2025-09-18 08:53:42
1,10,0.9636363636363636,1,2025-09-18 08:53:42
1,11,0.9818181818181818,11,2025-09-18 08:53:42
1,12,0.9757575757575757,1,2025-09-18 08:53:42
1,13,0.9696969696969697,1,2025-09-18 08:53:42
1,14,0.9818181818181818,4,2025-09-18 08:53:42
1,15,0.9818181818181818,9,2025-09-18 08:53:42
1,16,0.9757575757575757,1,2025-09-18 08:53:42
1,17,0.9818181818181818,1,2025-09-18 08:53:42
1,18,0.9757575757575757,1,2025-09-18 08:53:42
1,19,0.9696969696969697,1,2025-09-18 08:53:42
1,20,0.9939393939393939,1,2025-09-18 08:53:42
1,21,0.9939393939393939,1,2025-09-18 08:53:42
1,22,0.9757575757575757,1,2025-09-18 08:53:42
1,23,0.9636363636363636,3,2025-09-18 08:53:42
1,24,0.9757575757575757,3,2025-09-18 08:53:42
1,25,0.9878787878787879,1,2025-09-18 08:53:42
1,26,0.9939393939393939,1,2025-09-18 08:53:42
1,27,0.9696969696969697,3,2025-09-18 08:53:42
1,28,0.9757575757575757,1,2025-09-18 08:53:42
1,29,0.9757575757575757,1,2025-09-18 08:53:42
1,30,0.9696969696969697,1,2025-09-18 08:53:42
1,31,0.9575757575757575,1,2025-09-18 08:53:42
1,32,0.9636363636363636,2,2025-09-18 08:53:42
1,33,0.9636363636363636,13,2025-09-18 08:53:42
1,34,0.9818181818181818,1,2025-09-18 08:53:42
1,35,0.9575757575757575,4,2025-09-18 08:53:42
1,36,0.9454545454545454,6,2025-09-18 08:53:42
1,37,0.9757575757575757,8,2025-09-18 08:53:42
1,38,0.9757575757575757,13,2025-09-18 08:53:42
1,39,0.9636363636363636,7,2025-09-18 08:53:42
1,40,0.9757575757575757,4,2025-09-18 08:53:42
1,41,0.9696969696969697,1,2025-09-18 08:53:42
1,42,0.9878787878787879,1,2025-09-18 08:53:42
1,43,0.9636363636363636,1,2025-09-18 08:53:42
1,44,0.9818181818181818,2,2025-09-18 08:53:42
1,45,0.9878787878787879,1,2025-09-18 08:53:42
1,46,0.9818181818181818,1,2025-09-18 08:53:42
1,47,0.9757575757575757,11,2025-09-18 08:53:42
1,48,0.9878787878787879,1,2025-09-18 08:53:42
1,49,0.9818181818181818,1,2025-09-18 08:53:42
1,50,0.9696969696969697,1,2025-09-18 08:53:42
1,51,0.9757575757575757,1,2025-09-18 08:53:42
1,52,0.9757575757575757,2,2025-09-18 08:53:42
1,53,0.9878787878787879,1,2025-09-18 08:53:42
1,54,0.9878787878787879,1,2025-09-18 08:53:42
1,55,0.9878787878787879,1,2025-09-18 08:53:42
1,56,0.9818181818181818,1,2025-09-18 08:53:42
1,57,0.9939393939393939,1,2025-09-18 08:53:42
1,58,0.9454545454545454,12,2025-09-18 08:53:42
1,59,0.9333333333333333,14,2025-09-18 08:53:42
1,60,0.9757575757575757,1,2025-09-18 08:53:42
1,61,0.9575757575757575,8,2025-09-18 08:53:42
1,62,0.9818181818181818,1,2025-09-18 08:53:42
1,63,0.9696969696969697,1,2025-09-18 08:53:42
2,0,0.9818181818181818,8,2025-09-18 08:53:42
2,1,0.9636363636363636,1,2025-09-18 08:53:42
2,2,0.9696969696969697,1,2025-09-18 08:53:42
2,3,0.9878787878787879,1,2025-09-18 08:53:42
2,4,0.9818181818181818,1,2025-09-18 08:53:42
2,5,0.9696969696969697,1,2025-09-18 08:53:42
2,6,0.9878787878787879,2,2025-09-18 08:53:42
2,7,0.9878787878787879,3,2025-09-18 08:53:42
2,8,0.9818181818181818,1,2025-09-18 08:53:42
2,9,0.9818181818181818,1,2025-09-18 08:53:42
2,10,0.9818181818181818,1,2025-09-18 08:53:42
2,11,0.9818181818181818,1,2025-09-18 08:53:42
2,12,0.9575757575757575,1,2025-09-18 08:53:42
2,13,0.9696969696969697,1,2025-09-18 08:53:42
2,14,0.9636363636363636,1,2025-09-18 08:53:42
2,15,0.9757575757575757,1,2025-09-18 08:53:42
2,16,0.9818181818181818,1,2025-09-18 08:53:42
2,17,1.0,1,2025-09-18 08:53:42
2,18,0.9757575757575757,1,2025-09-18 08:53:42
2,19,0.9878787878787879,1,2025-09-18 08:53:42
2,20,0.9757575757575757,1,2025-09-18 08:53:42
